"Small Unit Installation Postcode","number_of_installations","total_output_kw","postcode","longitude","latitude","state"
"0200",1,0.08,"0200",149.119,-35.2777,"ACT"
"0800",133,3759.58,"0800",130.83668,-12.458684,"NT"
"0801",12,386.598,"0801",130.83668,-12.458684,"NT"
"0803",2,11.685,"0803",130.7459083,-12.43399126,"NT"
"0804",16,84.87,"0804",130.873315,-12.428017,"NT"
"0810",3954,27220.376,"0810",130.866242,-12.381806,"NT"
"0811",2,9,"0811",130.866242,-12.381806,"NT"
"0812",2176,14315.965,"0812",130.89047,-12.39124885,"NT"
"0813",7,85.549,"0813",130.916098,-12.404778,"NT"
"0814",4,18.24,"0814",130.866242,-12.381806,"NT"
"0820",1405,15555.249,"0820",130.873315,-12.428017,"NT"
"0821",7,156.303,"0821",136.947051,-13.643283,"NT"
"0822",1188,13742.489,"0822",130.6254299,-11.75841975,"NT"
"0828",383,5177.036,"0828",130.932068,-12.432024,"NT"
"0829",43,1241.72,"0829",130.9597671,-12.45763297,"NT"
"0830",2394,16596.889,"0830",130.9580765,-12.52139649,"NT"
"0831",10,45.38,"0831",130.974879,-12.475071,"NT"
"0832",2965,18909.629,"0832",130.9936551,-12.49684676,"NT"
"0834",299,2387.057,"0834",131.0234875,-12.54686461,"NT"
"0835",579,4295.643,"0835",131.0415,-12.5231,"NT"
"0836",1417,10541.776,"0836",131.0962,-12.5255,"NT"
"0837",69,660.131,"0837",131.016647,-12.704767,"NT"
"0838",146,1364.692,"0838",131.0067348,-12.71878122,"NT"
"0839",35,771.98,"0839",131.0402017,-12.52001124,"NT"
"0840",133,868.87,"0840",130.3529386,-12.72451307,"NT"
"0841",91,998.96,"0841",130.969862,-12.81922863,"NT"
"0845",84,697.386,"0845",131.038475,-13.045118,"NT"
"0846",55,365.57,"0846",131.095002,-13.210299,"NT"
"0847",24,283.005,"0847",131.759154,-14.012122,"NT"
"0850",938,8136.269,"0850",132.1721041,-14.46369137,"NT"
"0851",47,364.375,"0851",137.050719,-15.711424,"NT"
"0852",351,4238.86,"0852",130.8418661,-16.4525888,"NT"
"0853",2,52.97,"0853",132.3791217,-14.53113365,"NT"
"0854",18,248.965,"0854",136.424191,-16.503809,"NT"
"0860",167,1342.309,"0860",134.173599,-19.641301,"NT"
"0861",24,136.115,"0861",134.500504,-18.874571,"NT"
"0862",78,652.345,"0862",134.463153,-18.251528,"NT"
"0870",2951,19927.446,"0870",133.86314,-23.702291,"NT"
"0871",58,411.82,"0871",131.298809,-21.949513,"NT"
"0872",280,3819.277,"0872",131.298809,-21.949513,"NT"
"0873",163,1290.349,"0873",133.9050112,-23.74471408,"NT"
"0874",24,187.39,"0874",133.8647591,-23.64690294,"NT"
"0875",174,1202.571,"0875",133.8354205,-23.71350386,"NT"
"0880",34,627.231,"0880",135.7954286,-12.50557433,"NT"
"0881",18,148.41,"0881",136.824863,-11.670366,"NT"
"0885",31,784.59,"0885",136.420066,-13.85078586,"NT"
"0886",11,171.69,"0886",132.563373,-13.13118,"NT"
"1340",1,1.14,"1340",148.021014,-35.537721,"NSW"
"1355",2,6.83,"1355",151.262502,-33.893739,"NSW"
"1435",1,1.54,"1435",151.108248,-33.711785,"NSW"
"1460",1,4.75,"1460",151.210791,-33.926669,"NSW"
"1465",1,10.56,"1465",151.140735,-33.888549,"NSW"
"1470",2,5.81,"1470",151.151958,-33.842999,"NSW"
"1475",4,20.285,"1475",151.15334,-33.90911,"NSW"
"1480",2,4.88,"1480",151.100027,-33.935923,"NSW"
"1485",1,2,"1485",151.140345,-33.974354,"NSW"
"1490",2,9.3,"1490",151.107201,-34.035878,"NSW"
"1495",4,27.22,"1495",151.123943,-34.046927,"NSW"
"1560",1,5.025,"1560",151.214797,-33.812636,"NSW"
"1570",3,24.48,"1570",151.192733,-33.808087,"NSW"
"1595",5,35.26,"1595",151.187955,-33.791875,"NSW"
"1630",7,33.785,"1630",151.099812,-33.707684,"NSW"
"1640",3,114.675,"1640",151.246751,-33.793137,"NSW"
"1655",4,29.88,"1655",151.505125,-33.329799,"NSW"
"1658",1,5.04,"1658",151.216799,-33.698773,"NSW"
"1660",4,31.905,"1660",151.216799,-33.698773,"NSW"
"1670",2,21.04,"1670",151.12,-33.7932,"NSW"
"1675",1,5.59,"1675",151.139681,-33.833033,"NSW"
"1680",3,20.17,"1680",151.137807,-33.761498,"NSW"
"1685",5,35.965,"1685",151.09064,-33.80406,"NSW"
"1710",2,18,"1710",151.116696,-33.78417,"NSW"
"1715",2,3.01,"1715",151.049106,-33.758433,"NSW"
"1730",8,43.49,"1730",150.966912,-33.760263,"NSW"
"1741",1,10,"1741",151.139472,-33.886166,"NSW"
"1750",1,10.56,"1750",151.023102,-33.857053,"NSW"
"1755",5,29.005,"1755",150.968177,-33.767239,"NSW"
"1765",12,62.76,"1765",151.030535,-33.735906,"NSW"
"1790",4,115.9,"1790",151.19554,-33.859047,"NSW"
"1800",2,14.76,"1800",151.124008,-33.887602,"NSW"
"1805",2,14.72,"1805",151.10082,-33.891556,"NSW"
"1830",1,6.08,"1830",150.948582,-33.859289,"NSW"
"1835",2,9.025,"1835",151.023796,-33.883928,"NSW"
"1860",3,25.42,"1860",150.961124,-33.850457,"NSW"
"1871",2,8.17,"1871",151.103632,-33.888327,"NSW"
"1875",1,1.61,"1875",150.9413383,-33.93566973,"NSW"
"1885",5,13.29,"1885",151.024581,-33.907417,"NSW"
"1890",6,22.19,"1890",150.802088,-33.960035,"NSW"
"2000",66,1751.106,"2000",151.2015802,-33.86051951,"NSW"
"2007",34,473.05,"2007",151.19665,-33.883189,"NSW"
"2008",114,1093.744,"2008",151.193858,-33.891146,"NSW"
"2009",32,803.685,"2009",151.193055,-33.871222,"NSW"
"2010",264,2114.644,"2010",151.212262,-33.884119,"NSW"
"2011",64,981.804,"2011",151.221626,-33.873599,"NSW"
"2015",366,6294.717,"2015",151.194825,-33.910105,"NSW"
"2016",189,1271.174,"2016",151.206211,-33.894912,"NSW"
"2017",141,1785.44,"2017",151.206316,-33.903892,"NSW"
"2018",585,4039.672,"2018",151.202697,-33.9233,"NSW"
"2019",606,6331.445,"2019",151.207285,-33.946923,"NSW"
"2020",514,4408.947,"2020",151.176775,-33.936179,"NSW"
"2021",340,2360.326,"2021",151.227236,-33.895705,"NSW"
"2022",411,2448.604,"2022",151.245049,-33.896401,"NSW"
"2023",397,3415.15,"2023",151.25591,-33.884685,"NSW"
"2024",577,4320.618,"2024",151.259392,-33.904414,"NSW"
"2025",200,1413.66,"2025",151.240508,-33.88871,"NSW"
"2026",877,5551.72,"2026",151.268968,-33.891041,"NSW"
"2027",118,1006.929,"2027",151.250494,-33.868972,"NSW"
"2028",92,866.91,"2028",151.240965,-33.878413,"NSW"
"2029",289,2200.919,"2029",151.266989,-33.875709,"NSW"
"2030",710,5720.612,"2030",151.275977,-33.858378,"NSW"
"2031",1066,6949.437,"2031",151.239167,-33.914832,"NSW"
"2032",607,4035.725,"2032",151.223936,-33.930314,"NSW"
"2033",314,2258.517,"2033",151.218435,-33.91139,"NSW"
"2034",722,4638.166,"2034",151.252171,-33.929096,"NSW"
"2035",1744,11348.741,"2035",151.241292,-33.945635,"NSW"
"2036",1964,13461.305,"2036",151.237844,-33.969624,"NSW"
"2037",391,2368.87,"2037",151.184458,-33.880179,"NSW"
"2038",500,2413.509,"2038",151.170165,-33.881624,"NSW"
"2039",371,1958.216,"2039",151.171915,-33.867187,"NSW"
"2040",1254,7610.935,"2040",151.156819,-33.878774,"NSW"
"2041",696,3599.223,"2041",151.180095,-33.858556,"NSW"
"2042",738,3820.04,"2042",151.175354,-33.900649,"NSW"
